,Source_Image,Altitude,Pitch,u,v,Reference_Point_ID,Prj_Error_Easting,Prj_Error_Northing,Prj_Error,Flat_Error_Easting,Flat_Error_Northing,Flat_Error,delta,gamma,tan_beta,tan_alpha
373,DJI_0004.JPG,30,0,916,202,RR_2,-0.897,1.608,1.841269399,-0.897,1.588,1.823829213,0.372346482,0,-0.379154764,0.564117446
374,DJI_0005.JPG,30,0,952,1152,RR_2,-1.887,3.148,3.670241545,-1.887,3.148,3.670241545,0.179631766,0,-0.371235082,0.418729638
375,DJI_0006.JPG,30,0,1006,2110,RR_2,-2.557,4.018,4.762622492,-2.557,4.018,4.762622492,-0.0291384,0,-0.35935556,0.360687746
376,DJI_0007.JPG,30,0,988,3009,RR_2,-3.207,3.918,5.063158402,-3.207,3.918,5.063158402,-0.223125879,0,-0.363315401,0.436210318
377,DJI_0008.JPG,30,0,923,3896,RR_2,-3.707,3.048,4.799182535,-3.727,3.058,4.82098465,-0.399345122,0,-0.377614826,0.58829517
378,DJI_0008.JPG,30,0,1030,399,RR_1,-2.168,4.332,4.844217997,-2.168,4.332,4.844217997,0.334205064,0,-0.354075772,0.510934484
379,DJI_0009.JPG,30,0,944,2092,RR_1,-1.308,5.432,5.587261225,-1.308,5.432,5.587261225,-0.025181781,0,-0.372995012,0.37396247
380,DJI_0010.JPG,30,0,960,3013,RR_1,-1.648,5.262,5.514031919,-1.648,5.262,5.514031919,-0.223962535,0,-0.369475153,0.442131586
381,DJI_0011.JPG,30,0,920,3867,RR_1,-2.368,4.322,4.928195207,-2.378,4.332,4.941771747,-0.393917905,0,-0.3782748,0.583584275
382,DJI_0013.JPG,30,0,5128,1471,GCP_4,-12.373,3.927,12.98123484,-12.373,3.927,12.98123484,0.110959561,0,0.547448002,0.561990667
383,DJI_0014.JPG,30,0,5177,2634,GCP_4,-7.463,5.787,9.443820096,-7.463,5.787,9.443820096,-0.143421854,0,0.558227568,0.582213117
384,DJI_0014.JPG,30,0,3245,593,RR_1,-5.138,2.022,5.521551231,-5.128,2.022,5.512247092,0.295630431,0,0.133204647,0.334877584
385,DJI_0015.JPG,30,0,5129,3601,GCP_4,-6.633,5.387,8.544966823,-6.623,5.397,8.543520235,-0.343011607,0,0.547667993,0.682448548
386,DJI_0015.JPG,30,0,3217,1500,RR_1,-4.598,2.862,5.415962334,-4.598,2.862,5.415962334,0.104654171,0,0.127044895,0.165382732
387,DJI_0015.JPG,30,0,5262,433,GCP_5,-6.26,-11.371,12.98026352,-6.25,-11.381,12.98420814,0.327515245,0,0.576926817,0.697635822
388,DJI_0016.JPG,30,0,3158,2383,RR_1,-7.088,2.672,7.574914389,-7.088,2.672,7.574914389,-0.088964295,0,0.114065416,0.145158661
389,DJI_0016.JPG,30,0,5230,1297,GCP_5,-8.61,-10.791,13.80499116,-8.6,-10.791,13.7987565,0.148589488,0,0.5698871,0.595362656
390,DJI_0017.JPG,30,0,3124,3260,RR_1,-6.228,3.022,6.922461123,-6.228,3.022,6.922461123,-0.274971246,0,0.106585717,0.303075943
391,DJI_0017.JPG,30,0,5197,2152,GCP_5,-7.62,-10.071,12.6289129,-7.62,-10.071,12.6289129,-0.038366751,0,0.562627392,0.564348701
392,DJI_0018.JPG,30,0,5199,3036,GCP_5,-6.6,-10.131,12.0912018,-6.6,-10.121,12.08282421,-0.228767091,0,0.563067374,0.623257359
393,DJI_0018.JPG,30,0,3262,649,RR_2,-6.667,0.818,6.716994343,-6.667,0.818,6.716994343,0.284319104,0,0.136944497,0.325203826
394,DJI_0019.JPG,30,0,5203,3866,GCP_5,-5.14,-10.761,11.92554909,-5.14,-10.751,11.91652638,-0.39373032,0,0.563947339,0.738578106
395,DJI_0019.JPG,30,0,3213,1502,RR_2,-5.857,1.588,6.068458865,-5.857,1.588,6.068458865,0.104219002,0,0.12616493,0.164415561
396,DJI_0020.JPG,30,0,3164,2392,RR_2,-5.337,2.008,5.702248065,-5.337,2.008,5.702248065,-0.090928093,0,0.115385363,0.147438712
397,DJI_0021.JPG,30,0,3175,3284,RR_2,-4.537,1.908,4.921872916,-4.537,1.908,4.921872916,-0.279854652,0,0.117805266,0.312444211
398,DJI_0022.JPG,30,0,4889,845,GCP_1,-5.268,-4.492,6.923141484,-5.268,-4.502,6.929634045,0.244151542,0,0.494870114,0.567588331
399,DJI_0023.JPG,30,0,4896,1673,GCP_1,-4.258,-3.862,5.748530943,-4.258,-3.862,5.748530943,0.066882395,0,0.496410052,0.502011132
400,DJI_0024.JPG,30,0,4922,2557,GCP_1,-3.368,-4.052,5.26897789,-3.368,-4.042,5.261291477,-0.126791513,0,0.502129823,0.521997603
401,DJI_0025.JPG,30,0,1598,2023,GCP_1,-0.748,-3.342,3.424685095,-0.748,-3.342,3.424685095,-0.010008515,0,-0.229120793,0.229350766
402,DJI_0026.JPG,30,0,1727,2918,GCP_1,-2.288,-2.822,3.632991605,-2.288,-2.822,3.632991605,-0.204008072,0,-0.200741933,0.29124566
403,DJI_0027.JPG,30,0,1819,3914,GCP_1,-2.618,-2.112,3.36369856,-2.618,-2.112,3.36369856,-0.402701301,0,-0.180502747,0.468991761
404,DJI_0027.JPG,30,0,3283,392,RR_2,-2.287,1.188,2.57715211,-2.287,1.188,2.57715211,0.335578552,0,0.141564311,0.379629603
405,DJI_0028.JPG,30,0,3337,1321,RR_2,-2.887,1.818,3.411728741,-2.887,1.818,3.411728741,0.143421854,0,0.153443834,0.211875617
406,DJI_0028.JPG,30,0,113,882,RR_3,-0.444,2.834,2.868569679,-0.444,2.824,2.858690609,0.236473575,0,-0.555807666,0.620430901
407,DJI_0029.JPG,30,0,3413,2220,RR_2,-0.687,3.588,3.653178479,-0.687,3.588,3.653178479,-0.053293357,0,0.170163162,0.178559416
408,DJI_0029.JPG,30,0,239,1756,RR_3,1.166,5.294,5.420884799,1.166,5.294,5.420884799,0.048685896,0,-0.528088779,0.530955648
409,DJI_0029.JPG,30,0,1152,56,GCP_5,2.77,-10.081,10.45463825,2.76,-10.091,10.46163854,0.399905148,0,-0.32723685,0.552154969
410,DJI_0030.JPG,30,0,3502,3131,RR_2,-1.457,4.218,4.462552296,-1.457,4.218,4.462552296,-0.248496338,0,0.189742375,0.320475519
411,DJI_0030.JPG,30,0,368,2636,RR_3,0.156,5.794,5.796099723,0.156,5.794,5.796099723,-0.143852789,0,-0.49970992,0.525292333
412,DJI_0030.JPG,30,0,1274,963,GCP_5,1.69,-8.811,8.971611951,1.69,-8.811,8.971611951,0.219566558,0,-0.300397929,0.380178051
413,DJI_0031.JPG,30,0,430,3518,RR_3,-0.604,5.634,5.666283791,-0.614,5.644,5.677299711,-0.326726192,0,-0.486070468,0.615003405
414,DJI_0031.JPG,30,0,1324,1868,GCP_5,0.82,-8.101,8.142395287,0.82,-8.101,8.142395287,0.024082575,0,-0.289398371,0.290482708
415,DJI_0031.JPG,30,0,3282,496,RR_1,0.042,3.312,3.312266294,0.032,3.312,3.312154586,0.31503896,0,0.14134432,0.358198228
416,DJI_0032.JPG,30,0,3307,1410,RR_1,-0.688,3.762,3.824393808,-0.688,3.772,3.834231083,0.124193171,0,0.146844099,0.193605704
417,DJI_0032.JPG,30,0,1389,2740,GCP_5,-0.31,-7.461,7.467437379,-0.32,-7.461,7.467859198,-0.166183794,0,-0.275098946,0.325487571
418,DJI_0033.JPG,30,0,3357,2278,RR_1,-1.538,3.932,4.222092846,-1.538,3.932,4.222092846,-0.066006375,0,0.157843657,0.171443906
419,DJI_0033.JPG,30,0,1449,3590,GCP_5,-1.22,-7.641,7.737782693,-1.22,-7.641,7.737782693,-0.340863948,0,-0.261899476,0.450599646
420,DJI_0033.JPG,30,0,1229,443,GCP_4,-0.283,5.417,5.424387339,-0.283,5.417,5.424387339,0.32554182,0,-0.310297531,0.470314907
421,DJI_0034.JPG,30,0,3365,3107,RR_1,-2.848,4.292,5.150957969,-2.848,4.292,5.150957969,-0.243530084,0,0.159603587,0.297957947
422,DJI_0034.JPG,30,0,1239,1282,GCP_4,-1.653,6.087,6.307454162,-1.663,6.077,6.300436334,0.151815222,0,-0.308097619,0.347206971
423,DJI_0035.JPG,30,0,1295,2256,GCP_4,-1.923,6.737,7.006075792,-1.923,6.737,7.006075792,-0.061186487,0,-0.295778115,0.302599052
424,DJI_0036.JPG,30,0,1402,3113,GCP_4,-3.033,7.017,7.644434446,-3.043,7.017,7.648407547,-0.244772807,0,-0.27223906,0.375671171
425,DJI_0037.JPG,30,0,2715,1324,GCP_4,-6.083,4.427,7.523378098,-6.083,4.427,7.523378098,0.142775351,0,0.016609333,0.144729516
426,DJI_0038.JPG,30,0,690,386,RR_1,-5.038,2.202,5.49820407,-5.028,2.212,5.493061806,0.336754781,0,-0.428872766,0.573618252
427,DJI_0038.JPG,30,0,2811,2198,GCP_4,-5.623,4.427,7.156567473,-5.623,4.427,7.156567473,-0.04846644,0,0.037728484,0.061477367
428,DJI_0038.JPG,30,0,4160,161,GCP_3,-9.615,-3.302,10.16619049,-9.605,-3.302,10.15673319,0.380147766,0,0.334496559,0.537977916
429,DJI_0039.JPG,30,0,817,1200,RR_1,-4.138,1.772,4.501447323,-4.138,1.782,4.505393212,0.169391387,0,-0.400933889,0.441249885
430,DJI_0039.JPG,30,0,2892,3061,GCP_4,-4.673,4.477,6.471511261,-4.673,4.477,6.471511261,-0.233977263,0,0.055547768,0.245087807
431,DJI_0039.JPG,30,0,4306,1027,GCP_3,-8.525,-2.612,8.916174572,-8.515,-2.612,8.906613779,0.206116607,0,0.366615268,0.428951686
432,DJI_0040.JPG,30,0,875,2015,RR_1,-2.998,1.822,3.508231463,-2.998,1.822,3.508231463,-0.008248865,0,-0.388174402,0.388275245
433,DJI_0040.JPG,30,0,2831,768,GCP_5,-3.79,-10.541,11.20164189,-3.78,-10.541,11.19826241,0.260035373,0,0.042128307,0.269607199
434,DJI_0040.JPG,30,0,4393,1844,GCP_3,-7.055,-2.232,7.399651951,-7.055,-2.232,7.399651951,0.029358187,0,0.385754499,0.387036513
435,DJI_0041.JPG,30,0,888,2930,RR_1,-2.668,1.982,3.323634757,-2.668,1.982,3.323634757,-0.206538092,0,-0.385314517,0.445966663
436,DJI_0041.JPG,30,0,2859,1655,GCP_5,-3.09,-10.511,10.95578482,-3.09,-10.511,10.95578482,0.070823193,0,0.04828806,0.085884907
437,DJI_0041.JPG,30,0,4447,2742,GCP_3,-6.205,-2.632,6.740137165,-6.205,-2.632,6.740137165,-0.166611674,0,0.397634022,0.436881949
438,DJI_0041.JPG,30,0,3806,62,RR_3,-5.004,2.154,5.447910792,-5.004,2.154,5.447910792,0.398784831,0,0.256619688,0.505065601
439,DJI_0042.JPG,30,0,925,3792,RR_1,-1.778,2.372,2.964400108,-1.778,2.372,2.964400108,-0.379768333,0,-0.377174844,0.569421925
440,DJI_0042.JPG,30,0,2888,2496,GCP_5,-1.83,-10.541,10.69867193,-1.83,-10.541,10.69867193,-0.113566127,0,0.054667803,0.126634992
441,DJI_0042.JPG,30,0,4494,3573,GCP_3,-4.615,-3.312,5.680454999,-4.615,-3.312,5.680454999,-0.337538397,0,0.407973606,0.556888227
442,DJI_0042.JPG,30,0,761,322,RR_2,-3.717,1.698,4.086476844,-3.717,1.698,4.086476844,0.349240596,0,-0.413253394,0.571003645
