Image,u,v
DJI_0907.JPG,421,468
DJI_0907.JPG,346,467
DJI_0907.JPG,458,224
DJI_0907.JPG,592,69
DJI_0907.JPG,691,117
DJI_0907.JPG,633,278
DJI_0907.JPG,627,51
DJI_0907.JPG,622,108
DJI_0907.JPG,589,133
DJI_0907.JPG,709,212
DJI_0907.JPG,558,287
DJI_0907.JPG,673,243
DJI_0907.JPG,684,180
DJI_0907.JPG,516,294
DJI_0907.JPG,424,517
DJI_0907.JPG,531,152
DJI_0907.JPG,372,518
DJI_0907.JPG,714,136
DJI_0907.JPG,620,182
DJI_0907.JPG,660,97
DJI_0907.JPG,664,118
DJI_0907.JPG,653,235
DJI_0907.JPG,562,246
DJI_0907.JPG,385,525
DJI_0907.JPG,513,195
DJI_0907.JPG,565,163
DJI_0907.JPG,592,211
DJI_0907.JPG,552,115
DJI_0907.JPG,522,251
DJI_0907.JPG,443,220
DJI_0907.JPG,641,158
DJI_0907.JPG,419,291
DJI_0907.JPG,556,227
DJI_0907.JPG,425,493
DJI_0907.JPG,633,136
DJI_0907.JPG,581,304
DJI_0907.JPG,417,332
DJI_0907.JPG,590,251
DJI_0907.JPG,535,196
DJI_0907.JPG,525,231
DJI_0907.JPG,573,104
DJI_0907.JPG,559,369
DJI_0907.JPG,597,298
DJI_0907.JPG,615,204
DJI_0907.JPG,535,293
DJI_0907.JPG,493,235
DJI_0907.JPG,3124,761
DJI_0907.JPG,3146,773
DJI_0907.JPG,3851,429
DJI_0907.JPG,3931,386
DJI_0907.JPG,3899,454
DJI_0907.JPG,3756,99
DJI_0907.JPG,3966,147
DJI_0907.JPG,3406,585
DJI_0907.JPG,3832,395
DJI_0907.JPG,3803,40
DJI_0907.JPG,3906,252
DJI_0907.JPG,3837,351
DJI_0907.JPG,3792,402
DJI_0907.JPG,3898,656
DJI_0907.JPG,3800,237
DJI_0907.JPG,3959,181
DJI_0907.JPG,3733,706
DJI_0907.JPG,3898,349
DJI_0907.JPG,3883,771
DJI_0907.JPG,3909,187
DJI_0907.JPG,3761,329
DJI_0907.JPG,3718,195
DJI_0907.JPG,3825,542
DJI_0907.JPG,3404,711
DJI_0907.JPG,3973,460
DJI_0907.JPG,3793,199
DJI_0907.JPG,3908,379
DJI_0907.JPG,3706,747
DJI_0907.JPG,3961,580
DJI_0907.JPG,3793,547
DJI_0907.JPG,3594,654
DJI_0907.JPG,3350,661
DJI_0907.JPG,3660,724
DJI_0907.JPG,3918,580
DJI_0907.JPG,3716,266
DJI_0907.JPG,3653,573
DJI_0907.JPG,3760,664
DJI_0907.JPG,3961,442
DJI_0907.JPG,3708,488
DJI_0907.JPG,3825,337
DJI_0907.JPG,3683,520
DJI_0907.JPG,3646,53
DJI_0907.JPG,3473,690
DJI_0907.JPG,3834,294
DJI_0907.JPG,3764,760
DJI_0907.JPG,3672,548
DJI_0907.JPG,3493,553
DJI_0907.JPG,3635,628
DJI_0907.JPG,3723,307
