Analysis,Plant_ID,Source,Easting,Northing,Error_E,Error_N,Error
DG_DNN,49,0907,295421.8,2155307.93,-1.442,-2.68599999,3.04859967
DG_DNN,50,0907,295431.5241,2155304.464,-2.402137931,-0.54013793,2.462116086
DG_DNN,54,0907,295437.4436,2155311.955,-4.200636363,1.29945455,4.397036273
DG_DNN,47,0907,295418.207,2155295.47,0.006043479,1.35556522,1.355578691
DG_DNN,47,0908,295419.5687,2155295.224,-1.355679245,1.60222642,2.098808166
DG_DNN,54,0908,295439.3425,2155310.841,-6.0995,2.41275,6.559364513
DG_DNN,65,0908,295408.75,2155303.418,-0.888999999,-0.90233333,1.266699032
DG_DNN,50,0908,295433.0618,2155303.564,-3.939818181,0.35975758,3.9562094
DG_DNN,49,0908,295422.7667,2155306.627,-2.408666666,-1.38266666,2.777308445
DG_DNN,50,0909,295432.9358,2155301.596,-3.81375,2.32825,4.468270037
DG_DNN,49,0909,295422.57,2155305.277,-2.212,-0.03266666,2.212241196
DG_DNN,47,0909,295419.1658,2155294.271,-0.952789473,2.5545965,2.72649428
DG_DNN,65,0909,295407.4814,2155302.116,0.379571429,0.40028572,0.551636771
DG_DNN,50,0918,295423.9714,2155302.432,5.150571429,1.49209524,5.3623441
DG_DNN,47,0918,295412.2309,2155295.112,5.982054054,1.71424325,6.222828989
DG_DNN,65,0918,295402.5663,2155305.493,5.29475,-2.9765,6.074037357
DG_DNN,49,0918,295415.32,2155304.93,5.038,0.31400001,5.047775748
DG_DNN,54,0919,295428.31,2155310.806,4.933000001,2.448,5.507013075
DG_DNN,49,0919,295415.4033,2155306.157,4.954666667,-0.91266666,5.038023642
DG_DNN,47,0919,295411.977,2155295.855,6.235976191,0.9712381,6.311156986
DG_DNN,65,0919,295402.265,2155306.773,5.596,-4.2565,7.030861132
DG_DNN,50,0919,295423.9567,2155303.919,5.165333334,0.00483334,5.165335595
DG_DNN,47,0920,295409.0812,2155295.957,9.1318,0.86933334,9.173086269
DG_DNN,54,0920,295426.6417,2155311.797,6.601333334,1.45733334,6.760282705
DG_DNN,49,0920,295412.4767,2155306.893,7.881333334,-1.64933333,8.052062814
DG_DNN,50,0920,295421.9191,2155304.55,7.202909091,-0.62554545,7.230021195
DG_DNN,49,0940,295423.86,2155307.344,-3.502,-2.10028571,4.083528384
DG_DNN,54,0940,295437.775,2155313.568,-4.532,-0.3135,4.542830203
DG_DNN,50,0940,295433.6217,2155305.872,-4.499666666,-1.94766666,4.903101623
DG_DNN,47,0940,295423.472,2155296.774,-5.258999999,0.05200001,5.259257076
DG_DNN,50,0941,295432.7357,2155305.236,-3.613714285,-1.31171428,3.844414817
DG_DNN,65,0941,295412.03,2155306.3,-4.169,-3.784,5.630205769
DG_DNN,49,0941,295423.5725,2155306.79,-3.2145,-1.546,3.566949152
DG_DNN,47,0941,295420.5028,2155296.163,-2.289833333,0.66283334,2.383838235
DG_DNN,65,0942,295410.5645,2155305.618,-2.703545454,-3.10218181,4.114934994
DG_DNN,54,0942,295436.9433,2155313.097,-3.700333333,0.15733334,3.703676627
DG_DNN,50,0942,295432.2825,2155305.108,-3.1605,-1.1835,3.374823329
DG_DNN,49,0942,295422.7057,2155306.509,-2.347714285,-1.26457142,2.666627691
DG_DNN,47,0942,295420.1583,2155295.881,-1.945271604,0.94525926,2.162775227
DG_H,47,0907,295417.79,2155294.94,0.423,1.886,1.932854107
DG_H,49,0907,295421.02,2155307.31,-0.662,-2.066,2.169469981
DG_H,50,0907,295431.68,2155304.47,-2.558,-0.546,2.615622297
DG_H,54,0907,295437.54,2155311.58,-4.297,1.674,4.611559931
DG_H,47,0908,295418.87,2155295.06,-0.657,1.766,1.884251841
DG_H,49,0908,295422.37,2155306.71,-2.012,-1.466,2.489437688
DG_H,50,0908,295433.24,2155303.42,-4.118,0.504,4.148727516
DG_H,54,0908,295439.41,2155310.5,-6.167,2.754,6.753991783
DG_H,65,0908,295408.54,2155303.19,-0.679,-0.674,0.956722008
DG_H,47,0909,295418.32,2155294.48,-0.107,2.346,2.348438843
DG_H,49,0909,295422.02,2155305.47,-1.662,-0.226,1.677295442
DG_H,50,0909,295433.31,2155301.41,-4.188,2.514,4.88462281
DG_H,65,0909,295407.5,2155302.03,0.361,0.486,0.605406475
DG_H,47,0918,295411.89,2155295.01,6.323,1.816,6.578615736
DG_H,49,0918,295414.68,2155305.21,5.678,0.034,5.678101796
DG_H,50,0918,295423.71,2155302.61,5.412,1.314,5.569231545
DG_H,65,0918,295403.05,2155305.38,4.811,-2.864,5.598947848
DG_H,47,0919,295411.39,2155296.18,6.823,0.646,6.853513333
DG_H,49,0919,295414.54,2155306.39,5.818,-1.146,5.929792577
DG_H,50,0919,295424.06,2155303.89,5.062,0.034,5.062114183
DG_H,54,0919,295428.48,2155310.58,4.763,2.674,5.462274709
DG_H,65,0919,295402.54,2155306.67,5.321,-4.154,6.750463466
DG_H,47,0920,295408.66,2155296.16,9.553,0.666,9.576187394
DG_H,49,0920,295411.91,2155307.07,8.448,-1.826,8.643088568
DG_H,50,0920,295421.64,2155304.5,7.482,-0.576,7.504138858
DG_H,54,0920,295426.71,2155311.43,6.533,1.824,6.782850802
DG_H,47,0940,295422.9,2155296.86,-4.687,-0.034,4.687123318
DG_H,49,0940,295423.11,2155307.43,-2.752,-2.186,3.514555449
DG_H,50,0940,295433.55,2155305.84,-4.428,-1.916,4.824752843
DG_H,54,0940,295437.98,2155313.29,-4.737,-0.036,4.737136793
DG_H,47,0941,295419.87,2155296.33,-1.657,0.496,1.729643027
DG_H,49,0941,295422.61,2155306.93,-2.252,-1.686,2.813201024
DG_H,50,0941,295432.69,2155305.34,-3.568,-1.416,3.838708116
DG_H,54,0941,295437.47,2155312.94,-4.227,0.314,4.2386466
DG_H,65,0941,295411.83,2155306.3,-3.969,-3.784,5.483759386
DG_H,47,0942,295419.81,2155295.75,-1.597,1.076,1.92566482
DG_H,49,0942,295422,2155306.5,-1.642,-1.256,2.067292916
DG_H,50,0942,295432.41,2155305.18,-3.288,-1.256,3.519727262
DG_H,54,0942,295436.77,2155313.13,-3.527,0.124,3.529179083
DG_H,65,0942,295410.77,2155305.55,-2.909,-3.034,4.20326504
SfM,47,SfM,295417,2155298.02,1.213,-1.194,1.702059047
SfM,49,SfM,295418.76,2155307.55,1.598,-2.306,2.805573025
SfM,50,SfM,295428.73,2155306.88,0.392,-2.956,2.981878602
SfM,54,SfM,295432.83,2155314.34,0.413,-1.086,1.161879942
SfM,65,SfM,295407.22,2155306.28,0.641,-3.764,3.818190278
